,sehir,ilce,akp,mhp,bbp,yrefah,chp,iyip,ysp,tip,zafer,memleket,rte,kk,so,mi,akp_2018,mhp_2018,chp_2018,iyip_2018,sp_2018,hdp_2018,vp_2018,hudapar_2018,rte_2018,mi_2018,ma_2018,sd_2018,tk_2018,dp_2018,secmen_sayisi_2023,gecerli_oy_sayisi_2023,katilim_orani_2023,secmen_sayisi_2018,gecerli_oy_sayisi_2018,katilim_orani_2018
0,adana,ALADAĞ,42.03,15.46,1.03,3.36,19.42,12.31,0.36,1.98,1.73,0.63,61.4,33.2,4.6,0.8,49.16,17.94,14.87,15.26,1.29,0.6,0.42,0.43,61.9,19.4,16.8,0.5,1.0,0.3,12330.0,10872.0,91.1,12018.0,10443.0,90.1
1,adana,CEYHAN,31.39,12.42,0.44,1.11,24.78,11.03,13.43,1.63,1.82,0.78,45.4,49.8,4.3,0.5,31.12,14.54,23.1,13.19,0.84,16.57,0.2,0.4,42.1,32.2,11.4,13.5,0.6,0.2,112582.0,96851.0,87.7,110714.0,93013.0,85.9
2,adana,ÇUKUROVA,20.97,9.01,0.51,1.31,40.66,16.01,3.65,3.47,2.63,0.88,31.4,62.9,5.5,0.2,24.46,10.25,38.26,17.22,1.25,8.17,0.19,0.15,32.4,52.4,11.5,2.7,0.8,0.2,287869.0,256488.0,90.0,266788.0,234386.0,88.9
3,adana,FEKE,41.0,18.46,2.6,3.51,19.26,9.8,0.21,0.47,1.71,0.71,64.5,29.0,5.5,1.0,55.56,15.53,12.56,13.72,1.21,0.41,0.4,0.54,66.0,16.5,15.8,0.3,1.0,0.4,12788.0,10661.0,86.3,12564.0,10601.0,87.5
4,adana,İMAMOĞLU,40.24,22.04,0.72,2.53,18.01,9.94,2.34,0.41,1.97,0.82,65.7,29.1,4.7,0.5,49.69,15.16,16.54,14.41,1.38,2.36,0.2,0.22,62.0,21.8,13.5,1.5,1.1,0.2,20211.0,17719.0,89.7,20256.0,16411.0,83.7
5,adana,KARAİSALI,47.07,21.98,0.74,2.09,12.61,11.24,0.42,0.32,1.93,0.64,71.0,23.1,5.3,0.6,56.46,17.43,9.16,14.46,1.33,0.64,0.18,0.33,69.8,13.7,15.1,0.3,1.0,0.1,17312.0,15599.0,92.5,16041.0,14146.0,90.6
6,adana,KARATAŞ,19.15,16.06,0.25,0.77,41.77,10.86,4.87,3.87,1.09,0.45,35.4,61.9,2.5,0.2,25.25,13.89,37.66,10.83,0.75,11.24,0.17,0.22,37.0,48.6,9.9,4.1,0.3,0.1,17032.0,15097.0,89.9,16151.0,13917.0,87.8
7,adana,KOZAN,40.23,12.94,5.88,3.41,17.35,14.65,0.48,0.43,2.49,0.79,60.0,32.5,7.0,0.5,47.9,15.9,14.63,18.39,1.36,1.2,0.27,0.32,60.9,21.7,15.8,0.5,0.9,0.2,97522.0,84083.0,88.2,92315.0,76696.0,85.4
8,adana,POZANTI,39.67,16.78,0.76,2.03,23.8,11.25,0.92,0.71,2.11,0.71,58.7,35.4,5.6,0.4,45.93,15.86,20.94,13.33,1.65,1.81,0.22,0.23,58.7,26.6,12.2,0.9,1.3,0.3,15318.0,13368.0,89.3,14503.0,12828.0,90.9
9,adana,SAİMBEYLİ,41.1,20.86,11.1,3.47,12.26,6.88,0.22,0.34,1.69,0.46,74.5,20.0,4.9,0.7,51.91,24.69,10.67,10.05,0.92,0.79,0.49,0.41,72.9,14.4,11.2,0.3,0.8,0.4,10729.0,8656.0,83.5,10942.0,8665.0,82.3
10,adana,SARIÇAM,33.99,20.6,0.83,2.54,19.71,11.61,3.95,1.41,3.16,1.02,56.4,35.7,7.4,0.6,41.49,22.1,15.35,15.22,0.94,4.47,0.12,0.29,59.5,22.1,14.4,3.1,0.7,0.2,149406.0,129818.0,88.4,106808.0,91524.0,87.5
11,adana,SEYHAN,27.81,7.79,0.47,1.47,30.82,9.15,15.94,2.73,1.85,0.73,38.0,57.8,3.9,0.3,30.41,9.06,28.85,9.66,1.01,20.27,0.18,0.53,38.3,38.7,7.0,15.0,0.8,0.2,562326.0,480458.0,87.0,544445.0,456846.0,85.6
12,adana,TUFANBEYLİ,31.78,26.13,0.97,3.47,23.0,10.29,0.27,0.63,1.73,0.58,62.5,32.5,4.5,0.5,43.63,23.66,19.34,9.45,1.55,1.44,0.31,0.59,64.2,23.8,10.3,0.4,0.9,0.3,12827.0,10872.0,87.2,12755.0,10754.0,87.5
13,adana,YUMURTALIK,33.17,17.63,0.68,0.89,27.17,14.22,1.15,1.74,1.69,0.67,52.5,43.6,3.5,0.5,35.35,16.6,24.49,18.52,0.91,3.56,0.3,0.26,48.4,32.4,17.2,1.3,0.4,0.3,13769.0,12106.0,90.0,13108.0,10980.0,86.0
14,adana,YÜREĞİR,36.88,9.06,0.5,2.17,25.35,7.46,12.89,1.97,1.82,0.7,48.8,46.8,4.0,0.4,39.91,9.95,22.13,8.94,0.98,16.61,0.15,1.3,49.5,30.0,7.3,12.3,0.7,0.2,273305.0,226278.0,84.8,275514.0,224684.0,83.7
15,adiyaman,BESNİ,46.51,7.87,1.32,2.6,22.1,0.0,8.54,0.0,0.83,0.49,62.2,34.6,2.5,0.6,54.6,9.2,17.14,7.21,1.17,9.94,0.29,0.45,65.7,22.8,5.2,5.0,1.0,0.3,52352.0,40213.0,79.6,50927.0,40967.0,83.3
16,adiyaman,ÇELİKHAN,50.74,3.85,0.51,4.39,19.46,0.0,17.12,0.0,0.28,0.27,61.8,36.9,1.1,0.2,56.01,5.34,13.57,2.19,2.49,19.82,0.15,0.45,62.8,22.4,2.0,10.4,2.3,0.1,10320.0,9008.0,89.7,10671.0,9645.0,92.7
17,adiyaman,GERGER,73.26,1.74,0.6,8.23,8.58,0.0,5.49,0.0,0.32,0.32,85.7,12.9,1.1,0.3,78.87,3.35,3.67,2.15,1.93,9.24,0.3,0.48,85.3,4.9,1.3,7.3,1.0,0.2,10685.0,8068.0,77.2,11605.0,8585.0,75.9
18,adiyaman,GÖLBAŞI,46.32,7.76,0.69,2.44,29.44,0.0,5.08,0.0,1.32,0.66,59.5,36.3,3.8,0.4,46.93,14.4,22.51,6.87,0.94,7.77,0.28,0.3,59.8,30.8,6.4,2.0,0.8,0.2,33496.0,26605.0,81.4,34202.0,28889.0,87.0
19,adiyaman,KAHTA,67.68,1.45,0.57,6.47,7.14,0.0,12.6,0.0,0.31,0.42,79.3,19.3,1.1,0.4,67.36,5.48,2.95,1.98,2.28,15.97,0.2,3.79,80.0,6.9,1.1,10.6,1.2,0.2,83579.0,69464.0,85.2,74961.0,61157.0,83.7
20,adiyaman,MERKEZ,45.31,3.53,1.25,4.11,22.55,0.0,15.16,0.0,0.66,0.44,59.3,37.9,2.5,0.3,49.03,10.26,12.82,6.2,1.62,19.18,0.11,0.79,61.9,25.0,3.5,8.2,1.2,0.1,186863.0,146609.0,80.2,193718.0,166999.0,88.2
21,adiyaman,SAMSAT,66.78,7.6,0.7,2.99,7.39,0.0,8.12,0.0,0.26,0.31,84.0,14.5,1.2,0.3,66.36,9.72,2.45,4.08,3.4,8.89,0.02,5.07,85.3,4.1,2.0,6.6,1.9,0.0,4291.0,3818.0,90.9,4806.0,4333.0,91.8
22,adiyaman,SİNCİK,71.54,4.04,0.25,18.46,2.79,0.0,2.05,0.0,0.15,0.21,93.3,5.7,0.8,0.1,87.6,4.81,1.43,2.96,1.01,1.89,0.04,0.25,94.5,1.9,1.6,1.4,0.5,0.0,10973.0,9918.0,91.4,11512.0,10387.0,90.8
23,adiyaman,TUT,48.98,9.8,2.31,4.07,26.89,0.0,3.74,0.0,0.64,0.59,65.1,31.1,3.2,0.6,48.93,13.22,22.79,8.31,0.65,5.33,0.31,0.45,63.3,28.1,6.1,1.6,0.6,0.3,6744.0,5623.0,85.8,6879.0,5722.0,86.6
24,afyonkarahisar,BAŞMAKÇI,41.82,14.21,0.56,0.72,27.22,11.74,0.17,0.2,1.75,0.63,57.2,36.4,5.5,0.8,45.96,13.23,25.31,13.24,0.82,0.47,0.57,0.4,57.3,26.9,14.3,0.4,0.5,0.6,7494.0,6667.0,92.5,7818.0,6780.0,91.2
25,afyonkarahisar,BAYAT,43.69,15.16,2.58,2.4,21.36,10.5,0.33,0.14,1.65,1.16,63.6,29.4,5.8,1.1,55.59,13.15,14.75,14.38,0.6,0.58,0.58,0.37,67.7,19.4,11.4,0.6,0.5,0.3,5701.0,4876.0,89.6,5695.0,4831.0,89.7
26,afyonkarahisar,BOLVADİN,47.24,19.82,1.36,2.8,16.21,9.05,0.26,0.15,2.14,0.45,70.9,21.9,6.7,0.5,54.78,22.69,9.13,11.07,1.38,0.57,0.17,0.21,75.0,12.9,10.4,0.3,1.1,0.2,31637.0,27715.0,89.8,31137.0,26838.0,89.0
27,afyonkarahisar,ÇAY,37.55,14.03,0.57,1.36,18.07,25.65,0.28,0.14,1.04,0.59,57.3,36.3,5.7,0.7,50.02,12.87,18.85,15.91,0.93,0.71,0.4,0.32,60.2,23.0,15.3,0.5,0.8,0.2,23230.0,20070.0,89.1,23590.0,20211.0,88.8
28,afyonkarahisar,ÇOBANLAR,43.06,16.94,0.8,5.76,18.31,11.05,0.32,0.13,2.12,0.98,65.5,26.9,6.9,0.6,53.42,21.39,9.45,14.24,0.7,0.31,0.18,0.31,72.6,12.7,13.8,0.2,0.5,0.1,9488.0,8691.0,93.9,9011.0,8098.0,92.8
29,afyonkarahisar,DAZKIRI,40.56,17.62,0.76,1.28,22.99,12.02,0.19,0.27,2.41,1.14,59.8,33.1,6.4,0.7,48.84,14.16,20.67,14.33,0.95,0.54,0.2,0.32,60.5,23.6,14.5,0.3,0.8,0.2,8786.0,7960.0,92.7,8481.0,7543.0,91.8
30,afyonkarahisar,DİNAR,38.07,16.15,0.8,1.44,25.05,14.23,0.39,0.19,2.06,0.85,55.7,37.0,6.6,0.7,43.45,13.78,25.26,14.99,0.99,0.85,0.36,0.33,56.3,24.0,18.3,0.5,0.7,0.2,35627.0,30645.0,88.4,34977.0,29827.0,88.6
31,afyonkarahisar,EMİRDAĞ,39.45,18.47,0.71,1.93,25.02,9.91,0.7,0.28,2.09,0.8,59.0,34.6,5.8,0.5,52.69,11.77,20.55,12.54,0.93,0.86,0.34,0.32,62.7,25.3,10.6,0.4,0.7,0.2,32693.0,22431.0,70.4,27862.0,21947.0,81.4
32,afyonkarahisar,EVCİLER,41.0,14.79,0.51,1.0,27.96,11.4,0.14,0.31,1.82,0.61,56.7,38.1,4.8,0.4,47.48,11.29,26.31,13.66,0.58,0.3,0.16,0.22,56.4,28.1,14.8,0.1,0.4,0.2,5594.0,4941.0,90.5,5617.0,4978.0,90.7
33,afyonkarahisar,HOCALAR,52.61,19.51,0.63,1.86,10.64,11.52,0.12,0.17,1.35,0.43,75.6,19.5,3.9,1.0,61.49,16.45,9.1,10.59,0.87,0.56,0.52,0.42,76.3,12.9,9.7,0.4,0.5,0.2,6979.0,5869.0,87.8,7357.0,6141.0,88.7
34,afyonkarahisar,İHSANİYE,51.76,18.95,2.19,4.58,12.28,7.04,0.18,0.11,1.52,0.67,77.1,17.4,5.1,0.4,63.0,16.61,10.2,8.57,0.86,0.34,0.29,0.14,78.1,12.7,8.2,0.2,0.7,0.2,20232.0,18573.0,94.1,19876.0,18016.0,93.5
35,afyonkarahisar,İSCEHİSAR,54.65,16.62,1.02,4.33,11.25,7.4,0.13,0.12,2.97,0.83,75.6,17.1,6.8,0.4,65.93,11.71,4.47,16.03,1.03,0.48,0.18,0.18,80.0,7.8,10.7,0.3,1.2,0.2,17568.0,16166.0,94.2,16583.0,15245.0,94.3
36,afyonkarahisar,KIZILÖREN,38.02,20.96,1.04,2.28,20.31,14.26,0.13,0.2,1.95,0.39,57.7,34.6,6.9,0.7,48.48,16.18,16.71,16.71,0.59,0.41,0.53,0.41,61.0,19.7,18.1,0.4,0.4,0.4,1847.0,1526.0,86.9,2001.0,1692.0,88.8
37,afyonkarahisar,MERKEZ,42.92,16.26,1.14,3.87,17.53,13.42,0.32,0.28,2.78,0.93,63.0,28.7,7.8,0.4,57.28,14.14,11.58,14.47,1.28,0.97,0.15,0.13,69.9,18.3,10.3,0.3,1.0,0.2,219282.0,199877.0,92.7,195131.0,175913.0,92.1
38,afyonkarahisar,SANDIKLI,52.66,12.19,0.5,1.85,16.33,12.65,0.36,0.2,1.83,0.63,66.0,26.8,6.5,0.7,56.97,13.67,11.99,14.67,1.45,0.63,0.35,0.26,68.5,15.9,14.0,0.3,1.1,0.2,41723.0,35805.0,88.1,41255.0,35313.0,88.9
39,afyonkarahisar,SİNANPAŞA,49.0,16.78,2.86,2.93,15.32,9.54,0.12,0.13,1.87,0.6,71.6,22.1,5.6,0.7,61.89,13.78,11.98,10.92,0.65,0.24,0.3,0.23,74.5,15.0,9.5,0.2,0.5,0.3,29626.0,26046.0,90.7,30039.0,26297.0,90.8
40,afyonkarahisar,SULTANDAĞI,23.49,8.24,0.4,0.73,42.68,19.52,1.25,0.27,1.46,0.78,32.9,61.2,4.9,1.0,27.47,8.25,40.74,19.3,0.96,2.04,0.63,0.6,33.3,45.9,18.3,1.3,0.6,0.5,12010.0,10414.0,89.8,12699.0,10851.0,89.5
41,afyonkarahisar,ŞUHUT,47.82,17.4,0.52,2.2,18.93,10.37,0.21,0.09,1.4,0.49,68.3,26.7,4.4,0.5,62.39,9.58,16.4,9.73,1.08,0.38,0.23,0.2,70.3,19.8,8.7,0.2,0.8,0.2,27393.0,24522.0,92.2,27722.0,24940.0,92.9
42,agri,DİYADİN,18.07,1.69,0.28,0.93,8.98,1.65,65.65,0.0,0.0,0.66,22.5,75.3,1.6,0.6,18.68,1.14,2.44,1.23,0.85,74.96,0.27,0.41,21.0,5.5,1.1,71.7,0.6,0.1,22975.0,14755.0,67.6,22903.0,16843.0,76.5
43,agri,DOĞUBAYAZIT,13.57,1.13,0.16,0.73,6.27,1.68,74.18,0.0,0.0,0.6,16.4,81.4,1.9,0.3,14.47,1.22,2.16,1.03,0.43,79.54,0.18,0.92,16.8,4.5,0.9,77.4,0.4,0.1,70487.0,50128.0,73.4,66626.0,49569.0,77.1
44,agri,ELEŞKİRT,43.1,2.6,0.63,9.44,5.54,1.88,33.96,0.0,0.0,0.72,59.8,37.4,2.3,0.5,53.71,3.05,1.85,1.75,1.89,36.93,0.19,0.6,60.1,4.9,1.0,32.7,1.1,0.2,19536.0,12831.0,68.9,20010.0,14719.0,76.2
45,agri,HAMUR,31.27,0.91,0.28,2.06,8.7,1.72,52.51,0.0,0.0,0.82,38.8,59.6,1.1,0.5,38.72,1.0,3.16,1.57,0.91,53.63,0.24,0.58,41.5,4.1,0.9,52.8,0.6,0.1,9344.0,6401.0,71.4,9613.0,7403.0,79.4
46,agri,MERKEZ,34.55,2.18,0.26,2.2,9.07,1.8,47.24,0.0,0.0,0.99,43.7,53.7,2.3,0.3,41.11,2.89,2.36,2.34,1.2,48.25,0.15,1.36,47.0,6.6,1.6,43.6,1.1,0.1,90894.0,67736.0,77.0,84420.0,64627.0,78.9
47,agri,PATNOS,19.08,1.46,0.36,1.48,22.27,1.18,52.06,0.0,0.0,0.42,24.2,73.4,2.0,0.4,19.82,1.49,3.17,0.91,0.5,73.67,0.16,0.26,20.2,3.9,0.8,74.6,0.5,0.1,65482.0,43375.0,68.8,63387.0,49710.0,80.8
48,agri,TAŞLIÇAY,19.47,4.88,0.23,1.86,6.32,1.7,63.03,0.0,0.0,0.68,26.9,70.1,2.5,0.5,21.85,6.15,1.99,2.56,0.64,66.09,0.17,0.49,28.7,4.6,1.3,64.7,0.5,0.1,11465.0,8497.0,76.7,11331.0,8732.0,80.4
49,agri,TUTAK,23.51,9.8,0.39,1.3,8.78,1.95,51.72,0.0,0.0,1.06,36.4,60.4,2.6,0.7,28.6,5.95,1.85,2.14,0.48,60.46,0.23,0.25,35.7,3.9,1.6,58.3,0.5,0.1,16931.0,12128.0,73.8,17185.0,13328.0,80.1
50,aksaray,AĞAÇÖREN,46.68,25.77,1.81,2.72,0.0,18.33,0.18,0.35,1.34,0.55,77.9,16.9,4.7,0.5,58.43,25.42,5.2,8.79,1.24,0.33,0.15,0.44,82.3,8.7,7.9,0.2,0.7,0.2,6076.0,4954.0,85.0,6284.0,5136.0,85.2
51,aksaray,ESKİL,33.22,44.57,1.09,1.17,0.0,17.44,0.2,0.11,0.92,0.4,77.0,18.3,4.4,0.4,59.99,19.1,10.29,9.02,1.02,0.18,0.17,0.23,77.8,13.0,7.9,0.2,1.0,0.1,19056.0,17097.0,91.7,17510.0,15352.0,90.3
52,aksaray,GÜLAĞAÇ,39.93,21.88,2.29,3.82,0.0,29.09,0.27,0.16,0.79,0.31,68.6,27.5,3.1,0.9,50.75,19.99,19.41,6.76,0.85,1.74,0.32,0.19,69.8,23.6,5.4,0.3,0.7,0.2,13606.0,10563.0,79.6,13566.0,10972.0,83.7
53,aksaray,GÜZELYURT,40.9,20.79,9.68,2.18,0.0,22.61,0.36,0.14,1.27,0.57,73.8,21.8,3.9,0.4,54.66,23.22,14.12,5.04,0.47,2.01,0.22,0.26,76.5,18.4,4.0,0.5,0.5,0.2,7872.0,6458.0,84.4,8240.0,6755.0,85.3
54,aksaray,MERKEZ,44.45,18.85,2.14,2.71,0.0,26.21,0.7,0.27,1.42,0.75,70.8,22.7,6.2,0.4,55.78,21.5,8.75,11.52,0.79,1.19,0.18,0.29,76.4,13.7,8.4,0.7,0.7,0.1,214944.0,183966.0,87.4,187735.0,159857.0,87.5
55,aksaray,ORTAKÖY,45.76,24.09,1.26,2.82,0.0,21.97,0.38,0.25,1.25,0.72,74.5,20.5,4.7,0.4,58.99,19.91,8.43,10.67,0.84,0.67,0.28,0.21,77.1,12.6,9.0,0.3,0.8,0.1,23211.0,19007.0,84.4,22942.0,18716.0,84.6
56,aksaray,SARIYAHŞİ,46.0,18.42,0.86,1.72,0.0,27.27,0.24,0.47,1.84,0.71,67.0,27.3,5.4,0.4,57.02,15.49,13.02,9.98,2.73,0.61,0.49,0.65,71.6,16.7,8.6,0.2,2.4,0.4,3714.0,2579.0,72.1,3743.0,2590.0,73.7
57,aksaray,SULTANHANI,51.0,14.34,0.72,1.81,0.0,27.79,0.43,0.15,1.33,0.77,70.1,25.8,3.9,0.3,61.51,11.35,15.23,10.31,0.91,0.38,0.08,0.23,72.1,18.0,8.9,0.2,0.7,0.1,8087.0,7267.0,91.8,6850.0,6076.0,90.8
58,amasya,GÖYNÜCEK,47.4,17.41,0.59,2.31,24.09,5.62,0.2,0.08,0.77,0.21,66.5,30.2,3.0,0.3,53.77,12.67,20.61,9.29,0.72,2.23,0.39,0.33,64.4,25.1,9.3,0.3,0.6,0.2,7950.0,7131.0,92.0,8202.0,7170.0,91.1
59,amasya,GÜMÜŞHACIKÖY,26.74,15.62,0.31,1.35,47.66,5.25,0.5,0.58,0.73,0.23,42.2,54.7,2.8,0.4,36.24,6.81,45.45,6.37,1.24,3.58,0.13,0.19,41.7,50.6,6.1,0.4,1.0,0.2,18246.0,16669.0,93.2,18699.0,17040.0,93.7
60,amasya,HAMAMÖZÜ,33.43,28.11,1.02,2.64,24.68,4.64,0.15,0.19,0.64,0.19,65.9,30.6,2.6,0.8,50.86,16.23,22.72,7.63,0.82,1.0,0.46,0.29,65.7,25.5,7.7,0.4,0.5,0.3,2979.0,2644.0,91.6,3077.0,2766.0,94.0
61,amasya,MERKEZ,42.64,12.49,1.08,1.54,30.17,7.93,0.32,0.3,1.78,0.62,54.9,38.6,6.2,0.3,45.33,13.34,23.48,14.77,1.1,1.69,0.17,0.12,56.7,30.6,11.2,0.4,0.9,0.2,107218.0,97497.0,92.7,101641.0,90916.0,91.7
62,amasya,MERZİFON,31.83,18.03,0.57,1.95,35.52,7.81,0.37,0.62,1.79,0.6,49.3,45.0,5.4,0.3,39.95,12.16,32.16,11.98,1.24,2.24,0.16,0.12,49.9,38.7,10.0,0.4,0.9,0.2,58663.0,53114.0,92.1,54817.0,48804.0,90.9
63,amasya,SULUOVA,49.72,19.66,1.0,2.92,15.86,6.84,0.37,0.26,1.37,0.67,70.6,23.5,5.4,0.5,59.85,14.64,11.85,10.91,1.28,1.12,0.21,0.15,72.8,15.9,9.7,0.4,1.0,0.2,36530.0,32648.0,91.7,35156.0,31212.0,91.8
64,amasya,TAŞOVA,35.48,29.67,0.62,1.08,24.11,5.73,0.26,0.18,0.86,0.44,64.0,31.2,4.0,0.8,55.55,11.06,19.47,11.49,0.85,0.86,0.38,0.34,64.5,23.6,10.7,0.4,0.6,0.3,25221.0,21859.0,90.0,24894.0,21500.0,90.0
65,ankara,BALA,38.56,19.92,1.43,2.42,15.96,11.04,6.79,0.0,1.34,0.65,62.7,32.9,3.8,0.5,45.83,23.71,11.59,9.35,0.75,8.35,0.15,0.26,66.7,17.4,9.7,5.5,0.6,0.1,17513.0,14207.0,83.0,15512.0,12268.0,81.9
66,ankara,ÇANKAYA,13.99,4.67,0.54,1.11,54.59,16.02,4.02,0.0,2.77,0.95,20.4,75.0,4.4,0.2,17.98,6.87,47.5,14.97,1.43,10.72,0.35,0.06,23.6,64.4,8.7,2.1,0.8,0.3,717034.0,654271.0,92.1,675782.0,598876.0,89.6
67,ankara,ELMADAĞ,34.45,10.65,1.13,2.05,30.86,11.81,3.9,0.0,2.74,0.91,48.3,45.5,5.7,0.4,37.57,14.01,28.5,11.8,2.75,4.91,0.17,0.24,49.6,34.9,10.1,3.2,1.9,0.2,34388.0,31272.0,92.8,32339.0,28953.0,91.8
68,ankara,EVREN,43.81,13.92,0.93,1.55,20.15,13.61,0.93,0.0,1.55,0.72,63.2,31.9,4.6,0.3,50.19,17.47,15.45,14.22,1.17,0.69,0.43,0.32,66.3,18.5,13.7,0.5,0.7,0.3,2466.0,1975.0,83.0,2342.0,1890.0,83.8
69,ankara,GÖLBAŞI,30.16,13.23,1.29,3.13,27.69,14.72,3.46,0.0,4.07,1.05,47.3,45.1,7.3,0.3,39.75,18.6,19.74,12.77,2.3,6.47,0.18,0.09,55.8,29.7,10.2,2.6,1.5,0.2,106348.0,96125.0,91.5,88596.0,77825.0,89.5
70,ankara,HAYMANA,41.76,12.14,0.76,7.67,14.44,6.86,12.25,0.0,1.45,0.45,64.5,32.2,3.0,0.4,58.35,10.82,9.7,5.24,1.76,13.52,0.16,0.42,70.3,15.1,4.3,8.9,1.1,0.2,21158.0,16842.0,82.2,21199.0,16967.0,82.4
71,ankara,MAMAK,33.39,10.5,1.1,2.56,34.19,9.44,3.29,0.0,3.25,0.91,47.2,46.7,5.8,0.3,40.8,13.22,29.27,8.91,1.1,6.43,0.15,0.09,52.4,37.7,7.0,2.2,0.7,0.2,499456.0,449020.0,91.2,453000.0,398383.0,89.7
72,ankara,POLATLI,36.7,11.15,1.64,3.08,22.61,12.86,5.41,0.0,3.65,1.21,51.7,40.3,7.5,0.4,44.78,16.56,15.61,15.0,1.27,6.34,0.27,0.16,58.1,25.3,12.3,3.3,0.8,0.2,95629.0,82273.0,87.5,88480.0,74343.0,86.0
73,ankara,ŞEREFLİKOÇHİSAR,37.76,14.9,0.88,1.99,22.45,12.31,4.64,0.0,2.48,1.18,55.7,38.6,5.2,0.6,46.22,15.23,17.51,14.36,1.09,5.02,0.27,0.25,59.9,23.3,12.7,3.3,0.7,0.2,25169.0,20606.0,84.3,24592.0,20102.0,84.8
74,ankara,AKYURT,50.93,14.44,3.57,3.55,10.36,10.0,1.92,0.52,2.7,0.92,72.0,20.5,6.8,0.6,62.78,19.22,7.28,7.29,1.19,1.91,0.15,0.18,80.6,10.3,6.7,1.3,0.9,0.2,30348.0,27378.0,91.9,22893.0,20449.0,91.4
75,ankara,ALTINDAĞ,44.56,10.76,1.25,3.66,20.47,9.92,2.68,1.1,3.4,0.95,60.3,33.3,6.1,0.3,54.09,13.14,18.11,8.69,1.44,4.22,0.18,0.12,65.8,24.0,6.9,2.2,1.0,0.2,294263.0,259344.0,89.8,257689.0,222193.0,88.2
76,ankara,ÇAMLIDERE,51.86,19.96,1.26,3.07,10.07,10.32,0.05,0.25,1.59,0.33,78.2,18.0,3.6,0.2,64.53,21.52,7.12,5.47,0.86,0.19,0.15,0.15,84.0,9.6,5.5,0.1,0.8,0.0,7402.0,6392.0,87.9,6561.0,5786.0,90.4
77,ankara,ÇUBUK,51.53,13.68,2.57,4.2,12.11,9.71,1.3,0.45,2.57,0.71,71.9,22.1,5.7,0.3,61.13,18.5,9.61,7.27,1.45,1.74,0.15,0.15,78.0,13.1,6.8,1.0,1.0,0.1,69444.0,62452.0,91.6,63167.0,56274.0,91.3
78,ankara,GÜDÜL,45.06,16.27,1.42,1.84,16.54,13.82,0.23,0.4,1.88,0.53,65.5,28.8,5.0,0.6,56.97,15.56,12.44,12.31,1.27,0.37,0.81,0.28,70.9,16.4,11.4,0.1,0.7,0.6,7203.0,6219.0,88.8,7033.0,6117.0,89.7
79,ankara,KAHRAMANKAZAN,44.46,14.7,1.17,4.44,14.41,11.36,2.44,0.82,3.78,1.1,63.3,28.1,8.2,0.4,54.93,19.37,9.51,11.92,1.4,2.53,0.21,0.14,71.6,15.1,10.4,1.8,0.9,0.2,42802.0,38554.0,91.7,36108.0,32141.0,90.8
80,ankara,KALECİK,43.87,16.32,1.22,2.0,18.65,13.01,0.39,0.34,1.63,0.6,65.2,29.1,4.9,0.8,54.83,15.49,16.11,10.94,0.97,1.03,0.43,0.19,68.6,19.9,10.3,0.4,0.6,0.2,10341.0,9170.0,91.5,10082.0,8858.0,91.0
81,ankara,KEÇİÖREN,37.07,11.55,1.24,3.18,24.33,12.82,2.41,1.42,3.79,0.98,52.5,40.1,7.1,0.3,46.07,14.78,20.75,11.98,1.62,4.51,0.19,0.11,58.8,28.9,9.2,1.9,1.0,0.2,693795.0,618571.0,90.5,663345.0,578045.0,88.8
82,ankara,KIZILCAHAMAM,45.45,16.39,2.03,3.82,12.64,14.66,0.39,0.34,2.14,0.67,68.3,26.2,5.1,0.4,56.76,18.57,9.38,12.07,1.98,0.69,0.25,0.3,72.5,14.1,11.6,0.3,1.3,0.2,22835.0,20266.0,90.6,20675.0,18141.0,90.3
83,ankara,PURSAKLAR,50.45,13.27,1.86,4.98,11.08,11.3,0.98,0.61,3.45,0.94,70.2,22.4,7.2,0.3,62.75,16.79,7.81,8.91,1.74,1.78,0.13,0.08,78.1,12.2,7.6,0.9,1.1,0.1,115128.0,104127.0,92.0,97665.0,86878.0,90.9
84,ankara,AYAŞ,33.83,10.47,9.56,1.98,18.81,18.09,2.39,0.7,1.78,0.67,55.4,38.1,6.2,0.3,42.39,12.43,30.79,9.67,0.95,3.13,0.37,0.24,56.6,24.0,15.5,2.6,0.9,0.6,10009.0,9143.0,93.2,9827.0,8859.0,92.1
85,ankara,BEYPAZARI,35.33,15.04,0.82,2.38,10.82,28.87,1.88,0.48,2.2,0.68,56.8,35.2,7.5,0.5,47.28,21.74,11.05,16.47,1.2,1.79,0.27,0.18,65.4,15.9,16.4,1.3,0.8,0.2,37430.0,33344.0,91.2,36755.0,31864.0,88.9
86,ankara,ETİMESGUT,26.8,10.43,1.29,2.65,31.91,15.5,2.32,2.94,3.91,1.16,40.3,51.9,7.5,0.3,35.73,13.75,26.82,15.6,1.73,6.02,0.2,0.1,47.2,38.7,10.7,2.0,1.1,0.2,462889.0,422051.0,92.2,403249.0,354773.0,89.2
87,ankara,NALLIHAN,38.92,12.39,0.68,2.58,20.31,18.59,0.28,0.55,2.32,1.0,54.6,38.2,6.5,0.7,46.51,15.66,18.84,16.74,0.92,0.73,0.29,0.26,58.8,23.9,16.2,0.3,0.6,0.3,21762.0,19052.0,90.1,22582.0,19421.0,89.2
