,sehir,ilce,akp,mhp,bbp,yrefah,chp,iyip,ysp,tip,zafer,memleket,rte,kk,so,mi,akp_2018,mhp_2018,chp_2018,iyip_2018,sp_2018,hdp_2018,vp_2018,hudapar_2018,rte_2018,mi_2018,ma_2018,sd_2018,tk_2018,dp_2018,secmen_sayisi_2023,gecerli_oy_sayisi_2023,katilim_orani_2023,secmen_sayisi_2018,gecerli_oy_sayisi_2018,katilim_orani_2018
791,sakarya,ADAPAZARI,42.95,11.11,0.87,5.12,18.56,12.94,1.98,0.6,3.09,1.12,59.5,32.3,7.8,0.4,54.13,13.71,16.4,10.41,2.16,2.89,0.17,0.12,66.1,23.1,7.4,1.9,1.4,0.2,204679.0,183727.0,91.1,192628.0,169343.0,89.7
792,sakarya,AKYAZI,58.25,13.88,0.99,5.34,9.78,6.72,0.31,0.26,2.36,0.92,78.1,16.0,5.5,0.4,69.37,13.48,8.64,5.57,2.14,0.51,0.16,0.14,81.9,11.4,4.7,0.3,1.6,0.1,70517.0,64459.0,93.2,63513.0,57320.0,92.4
793,sakarya,ARİFİYE,48.56,11.3,1.25,7.07,13.55,8.49,4.17,0.6,2.64,0.98,67.5,25.3,6.8,0.3,60.97,14.11,10.11,7.43,2.02,5.1,0.16,0.11,73.8,14.6,6.0,4.2,1.4,0.1,34994.0,31683.0,92.2,29476.0,26384.0,91.7
794,sakarya,ERENLER,50.94,11.85,1.0,6.09,12.7,9.7,1.82,0.4,2.89,1.07,69.4,23.4,6.9,0.3,63.76,13.49,10.32,7.76,2.0,2.42,0.15,0.11,76.0,14.8,5.9,1.8,1.4,0.1,66517.0,59667.0,91.2,60970.0,53925.0,90.2
795,sakarya,FERİZLİ,49.34,13.17,0.75,4.93,13.06,12.69,0.66,0.23,2.38,1.04,67.9,24.8,6.6,0.7,59.91,15.83,12.0,9.42,1.55,0.9,0.21,0.18,73.6,16.7,7.9,0.4,1.1,0.2,21286.0,19075.0,91.6,18451.0,16597.0,92.4
796,sakarya,GEYVE,48.52,13.89,1.08,5.61,15.45,9.63,0.93,0.22,2.08,0.81,67.9,24.6,6.9,0.7,60.06,11.86,10.8,13.23,2.05,1.38,0.34,0.28,71.0,16.7,9.6,1.0,1.4,0.2,38189.0,34449.0,92.4,35671.0,31477.0,90.8
797,sakarya,HENDEK,55.95,11.42,0.7,3.76,12.41,9.6,1.05,0.64,2.48,0.84,69.1,23.6,6.9,0.4,59.24,16.84,10.59,10.37,1.14,1.49,0.18,0.15,73.5,16.3,8.1,1.1,0.8,0.2,65464.0,59356.0,92.4,58085.0,51305.0,90.5
798,sakarya,KARAPÜRÇEK,55.99,11.7,1.12,8.37,12.05,5.56,0.53,0.22,1.9,1.07,76.0,18.3,5.3,0.4,66.65,13.98,9.76,4.41,3.61,1.23,0.17,0.19,80.3,12.5,3.7,0.5,2.8,0.1,9844.0,8961.0,93.4,8988.0,7957.0,91.8
799,sakarya,KARASU,47.37,12.53,0.95,3.72,17.57,11.17,1.31,0.51,2.27,0.99,64.9,29.0,5.6,0.4,57.81,14.32,14.98,8.54,1.79,2.14,0.27,0.15,70.4,20.2,6.7,1.3,1.2,0.2,54031.0,46954.0,88.5,46447.0,39728.0,87.5
800,sakarya,KAYNARCA,53.84,17.25,1.0,4.41,10.71,7.63,0.33,0.22,2.17,0.77,76.2,17.5,5.7,0.7,68.23,14.48,8.65,6.24,1.65,0.46,0.15,0.14,81.2,11.9,5.3,0.3,1.2,0.2,18888.0,17200.0,93.2,17656.0,15885.0,92.6
801,sakarya,KOCAALİ,47.94,17.99,0.53,4.03,13.41,11.17,0.55,0.37,1.84,0.75,68.9,25.4,5.2,0.4,60.01,13.92,11.62,9.53,3.37,1.03,0.3,0.22,72.4,16.3,8.0,0.6,2.5,0.2,18712.0,16609.0,91.1,16665.0,14573.0,90.0
802,sakarya,PAMUKOVA,51.18,11.29,1.11,4.47,14.22,10.83,0.5,0.31,2.17,1.13,68.1,24.7,6.6,0.6,60.7,12.43,12.94,10.69,2.02,0.84,0.22,0.17,71.8,17.8,8.7,0.3,1.3,0.1,23105.0,20923.0,92.3,21363.0,18835.0,90.4
